"Code Pays";"Code Voyage";"Intitulé";"Durée (jours)";"Description";"Résidence"
"JAM";"JAM183";"Séjour vert en Jamaïque";"9";"Non loin de Kingston, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec piscine"
"JAP";"JAP175";"Tokio, l'éternelle";"20";"Tokio est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel dans un parc arboré"
"JAP";"JAP243";"Séjour vert en Japon";"11";"Découvrez une autre facette de la vie en Japon. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel dans un parc arboré"
"JOR";"JOR263";"Amman, l'éternelle";"8";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel avec accès direct sur la plage"
"JOR";"JOR285";"Séjour vert en Jordanie";"9";"Découvrez une autre facette de la vie en Jordanie. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux dans un parc arboré"
"LET";"LET228";"Découverte de Riga";"13";"Destination majeure en Lettonie, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel dans un parc arboré"
"LET";"LET398";"Lettonie autrement";"20";"Non loin de Riga, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 5 étoiles dans un parc arboré"
"LIB";"LIB265";"Découverte de Beyrouth";"20";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Bungalow luxueux avec accès direct sur la plage"
"LIB";"LIB438";"Séjour vert en Liban";"16";"Découvrez une autre facette de la vie en Liban. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux dans un parc arboré"
"LIE";"LIE243";"Vaduz, l'éternelle";"15";"Vaduz est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles avec piscine"
"LIE";"LIE387";"Séjour vert en Liechtenstein";"8";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel dans un parc arboré"
"LIT";"LIT282";"Vilnius: ville incroyable";"15";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel avec accès direct sur la plage"
"LIT";"LIT368";"Séjour vert en Lituanie";"21";"Non loin de Vilnius, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec piscine"
"LUX";"LUX132";"Luxembourg: ville incroyable";"21";"Destination majeure en Luxembourg, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Chalet individuel avec accès direct sur la plage"
"LUX";"LUX270";"Luxembourg: bien plus que Luxembourg";"7";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux avec piscine"
"MAC";"MAC280";"Découverte de Skopje";"13";"Skopje est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles"
"MAC";"MAC452";"Séjour vert en Macédoine";"17";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux avec accès direct sur la plage"
"MAD";"MAD154";"Antanarivo: ville incroyable";"12";"Antanarivo est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles"
"MAD";"MAD195";"Madagascar: bien plus que Antanarivo";"8";"Découvrez une autre facette de la vie en Madagascar. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 5 étoiles avec piscine"
"MAL";"MAL144";"Découverte de Male";"20";"Destination majeure en Maldives, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles avec piscine"
"MAL";"MAL176";"Maldives autrement";"16";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 4 étoiles avec piscine"
"MAR";"MAR142";"Découverte de Rabat";"17";"Rabat est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles avec piscine"
"MAR";"MAR197";"Maroc: bien plus que Rabat";"8";"Découvrez une autre facette de la vie en Maroc. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux avec piscine"
"MAU";"MAU254";"Port-Louis: ville incroyable";"11";"Port-Louis est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles avec piscine"
"MAU";"MAU322";"Maurice autrement";"7";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 5 étoiles dans un parc arboré"
"MEX";"MEX167";"Découverte de Mexico";"16";"Mexico est la destination de vos rêves. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel"
"MEX";"MEX233";"Séjour vert en Mexique";"9";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Chalet individuel avec piscine"
"MOL";"MOL178";"Chisinau: ville incroyable";"12";"Destination majeure en Moldavie, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 4 étoiles"
"MOL";"MOL244";"Séjour vert en Moldavie";"13";"Non loin de Chisinau, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles dans un parc arboré"
"MON";"MON181";"Monaco: ville incroyable";"8";"Destination majeure en Monaco, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles dans un parc arboré"
"MON";"MON250";"Monaco: bien plus que Monaco";"21";"Non loin de Monaco, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 5 étoiles avec piscine"
"NAU";"NAU213";"Yaren, l'éternelle";"19";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Bungalow luxueux"
"NAU";"NAU285";"Nauru: bien plus que Yaren";"10";"Découvrez une autre facette de la vie en Nauru. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 4 étoiles dans un parc arboré"
"NEP";"NEP181";"Découverte de Katmandou";"16";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 5 étoiles dans un parc arboré"
"NEP";"NEP251";"Népal: bien plus que Katmandou";"21";"Découvrez une autre facette de la vie en Népal. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux"
"NOR";"NOR187";"Oslo, l'éternelle";"8";"Destination majeure en Norvège, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles"
"NOR";"NOR223";"Norvège: bien plus que Oslo";"20";"Non loin de Oslo, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec piscine"
"NZE";"NZE284";"Wellington, l'éternelle";"18";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel dans un parc arboré"
"NZE";"NZE365";"Nouvelle Zélande: bien plus que Wellington";"11";"Non loin de Wellington, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 4 étoiles dans un parc arboré"
"PAP";"PAP269";"Port-Moresby, l'éternelle";"10";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel avec piscine"
"PAP";"PAP416";"Séjour vert en Papouasie-Nouvelle-Guinée";"19";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux avec accès direct sur la plage"
"HOL";"HOL220";"Amsterdam, l'éternelle";"19";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel avec accès direct sur la plage"
"HOL";"HOL352";"Séjour vert en Pays-Bas";"8";"Découvrez une autre facette de la vie en Pays-Bas. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 4 étoiles avec piscine"
"PER";"PER243";"Lima: ville incroyable";"21";"Lima est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles dans un parc arboré"
"PER";"PER374";"Pérou: bien plus que Lima";"17";"Non loin de Lima, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux dans un parc arboré"
"POL";"POL205";"Varsovie: ville incroyable";"8";"Varsovie est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles avec accès direct sur la plage"
"POL";"POL243";"Pologne: bien plus que Varsovie";"14";"Non loin de Varsovie, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles avec accès direct sur la plage"
"POR";"POR266";"Découverte de Lisbonne";"12";"Destination majeure en Portugal, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel dans un parc arboré"
"POR";"POR464";"Portugal: bien plus que Lisbonne";"8";"Non loin de Lisbonne, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles avec accès direct sur la plage"
"QAT";"QAT132";"Al-Dawha (Doha), l'éternelle";"19";"Al-Dawha (Doha) est la destination de vos rêves. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles dans un parc arboré"
"QAT";"QAT288";"Séjour vert en Qatar";"18";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Bungalow luxueux"
"ROU";"ROU150";"Découverte de Bucarest";"8";"Bucarest est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles dans un parc arboré"
"ROU";"ROU280";"Séjour vert en Roumanie";"16";"Découvrez une autre facette de la vie en Roumanie. Rapprochez-vous de la nature spécifique du lieu. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 4 étoiles"
"ROY";"ROY194";"Londres, l'éternelle";"20";"Londres est la destination de vos rêves. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles"
"ROY";"ROY387";"Royaume-Uni: bien plus que Londres";"16";"Découvrez une autre facette de la vie en Royaume-Uni. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles"
"RUS";"RUS193";"Moscou, l'éternelle";"8";"Destination majeure en Russie, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles dans un parc arboré"
"RUS";"RUS319";"Séjour vert en Russie";"8";"Non loin de Moscou, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 5 étoiles dans un parc arboré"
"SIN";"SIN207";"Singapour: ville incroyable";"12";"Singapour est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Chalet individuel avec piscine"
"SIN";"SIN228";"Séjour vert en Singapour";"8";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec piscine"
"SLO";"SLO145";"Découverte de Bratislava";"12";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 4 étoiles avec piscine"
"SLO";"SLO283";"Séjour vert en Slovaquie";"7";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec piscine"
"SLV";"SLV268";"Découverte de Ljubljana";"8";"Ljubljana est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles avec piscine"
"SLV";"SLV387";"Séjour vert en Slovénie";"10";"Non loin de Ljubljana, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Chalet individuel"
"SUE";"SUE185";"Découverte de Stockholm";"14";"Stockholm est la destination de vos rêves. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles avec accès direct sur la plage"
"SUE";"SUE210";"Suède autrement";"15";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux"
"SUI";"SUI158";"Berne, l'éternelle";"13";"Destination majeure en Suisse, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux dans un parc arboré"
"SUI";"SUI240";"Suisse: bien plus que Berne";"7";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles"
"TCH";"TCH298";"Prague: ville incroyable";"21";"Destination majeure en République Tchèque, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Chalet individuel"
"TCH";"TCH412";"République Tchèque autrement";"20";"Découvrez une autre facette de la vie en République Tchèque. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Hôtel 5 étoiles avec accès direct sur la plage"
"THA";"THA163";"Bagkok: ville incroyable";"18";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles avec accès direct sur la plage"
"THA";"THA304";"Séjour vert en Thaïlande";"9";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Bungalow luxueux avec accès direct sur la plage"
"TUN";"TUN159";"Tunis: ville incroyable";"14";"Destination majeure en Tunisie, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux"
"TUN";"TUN208";"Tunisie: bien plus que Tunis";"21";"Découvrez une autre facette de la vie en Tunisie. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles avec accès direct sur la plage"
"TUR";"TUR136";"Découverte de Ankara";"21";"Destination majeure en Turquie, la capitale offre un lieu animé pour vos vacances. Entre musées, vieilles rues et magasins typiques, les possibilités sont innombrables.";"Hôtel 5 étoiles"
"TUR";"TUR260";"Turquie: bien plus que Ankara";"8";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Chalet individuel avec piscine"
"UKR";"UKR115";"Kiev, l'éternelle";"11";"Destination majeure en Ukraine, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Hôtel 5 étoiles dans un parc arboré"
"UKR";"UKR246";"Séjour vert en Ukraine";"20";"Non loin de Kiev, ce séjour au calme vous proposera de nombreuses possibiltés de visites. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles avec piscine"
"URU";"URU248";"Montevidéo, l'éternelle";"20";"Destination majeure en Uruguay, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Chalet individuel dans un parc arboré"
"URU";"URU294";"Uruguay: bien plus que Montevidéo";"9";"Découvrez une autre facette de la vie en Uruguay. Rapprochez-vous de la nature spécifique du lieu. Profitez des espaces préservés du pays pour vous ressourcer. Construisez votre programme selon vos envies: baignades, ballades, visites culturelles.";"Hôtel 4 étoiles"
"VAN";"VAN257";"Port-Vila, l'éternelle";"17";"Destination majeure en Vanuatu, la capitale offre un lieu animé pour vos vacances. Vous visiterez les lieux célèbres du pays, et explorerez les endroits atypiques dans les recoins de la ville.";"Bungalow luxueux avec piscine"
"VAN";"VAN357";"Vanuatu autrement";"20";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 5 étoiles avec accès direct sur la plage"
"VEN";"VEN163";"Caracas, l'éternelle";"20";"Cette ville aux secrets méconnus vous offrira un séjour de rêve. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 5 étoiles"
"VEN";"VEN230";"Venezuela autrement";"8";"Loin de l'agitation de la ville, ce séjour vous offrira une ambiance calme. Forêts, plages et parcs animaliers vous attendent pour une détente absolue, dans une ambiance familiale.";"Hôtel 5 étoiles"
"ZIM";"ZIM117";"Harare: ville incroyable";"7";"Destination majeure en Zimbabwe, la capitale offre un lieu animé pour vos vacances. Selon vos envies, les rues vous révèleront leurs secrets. Chaque promenade sera une découverte.";"Hôtel 4 étoiles avec piscine"
"ZIM";"ZIM293";"Zimbabwe: bien plus que Harare";"7";"Découvrez une autre facette de la vie en Zimbabwe. Rapprochez-vous de la nature spécifique du lieu. Au coeur de la plus belle région du pays, votre esprit s'évadera au rythme des visites atypiques à la rencontre des gens du lieu.";"Bungalow luxueux dans un parc arboré"
